point,frequency,value_t1,value_t2
0,450000000,-91.03,-87.03
1,450222717,-93.03,-88
2,450445434,-94.03,-88.5
3,450668151,-91.53,-88.5
4,450890869,-91.53,-88.5
5,451113586,-93.53,-88
6,451336303,-91.53,-87
7,451559020,-93.03,-88.5
8,451781737,-93.53,-87.03
9,452004454,-92.56,-88.03
10,452227171,-92.56,-88.03
11,452449889,-93.56,-88.06
12,452672606,-96.06,-88.53
13,452895323,-94.06,-87.53
14,453118040,-92.06,-86.03
15,453340757,-96.56,-87.06
16,453563474,-92.06,-87.53
17,453786192,-94.06,-88.53
18,454008909,-93.06,-88.53
19,454231626,-92.06,-88.53
20,454454343,-90.56,-88.03
21,454677060,-91.56,-88.03
22,454899777,-93.06,-88.03
23,455122494,-94.06,-86.53
24,455345212,-92.56,-88.53
25,455567929,-90.56,-88.03
26,455790646,-92.06,-88.03
27,456013363,-93.09,-87.56
28,456236080,-92.59,-87.56
29,456458797,-95.09,-88.09
30,456681514,-92.59,-88.06
31,456904232,-91.59,-87.56
32,457126949,-94.09,-88.06
33,457349666,-95.09,-88.56
34,457572383,-91.59,-88.56
35,457795100,-94.09,-88.06
36,458017817,-93.09,-88.09
37,458240535,-95.59,-88.06
38,458463252,-94.59,-88.09
39,458685969,-93.09,-88.09
40,458908686,-92.09,-88.09
41,459131403,-93.09,-87.56
42,459354120,-96.59,-88.56
43,459576837,-91.59,-87.56
44,459799555,-95.09,-87.56
45,460022272,-91.59,-87.56
46,460244989,-93.13,-88.59
47,460467706,-93.13,-87.59
48,460690423,-94.13,-88.59
49,460913140,-94.63,-87.09
50,461135857,-91.63,-84.09
51,461358575,-93.63,-82.13
52,461581292,-92.63,-79.59
53,461804009,-91.63,-78.09
54,462026726,-94.63,-79.59
55,462249443,-94.13,-79.59
56,462472160,-92.63,-83.09
57,462694878,-92.13,-81.59
58,462917595,-93.13,-80.63
59,463140312,-89.13,-80.59
60,463363029,-91.13,-82.13
61,463585746,-95.63,-81.63
62,463808463,-90.63,-83.59
63,464031180,-91.13,-83.59
64,464253898,-91.16,-84.63
65,464476615,-91.16,-85.63
66,464699332,-93.16,-82.63
67,464922049,-91.66,-83.63
68,465144766,-89.16,-83.13
69,465367483,-90.16,-86.13
70,465590200,-92.66,-86.66
71,465812918,-84.66,-83.63
72,466035635,-85.66,-82.63
73,466258352,-86.16,-82.66
74,466481069,-92.16,-83.13
75,466703786,-91.16,-87.13
76,466926503,-91.66,-87.13
77,467149220,-93.66,-87.13
78,467371938,-93.16,-88.13
79,467594655,-92.16,-88.63
80,467817372,-94.16,-88.63
81,468040089,-91.66,-88.19
82,468262806,-89.69,-86.69
83,468485523,-92.19,-87.66
84,468708241,-94.19,-87.66
85,468930958,-92.69,-87.66
86,469153675,-94.69,-86.69
87,469376392,-90.19,-87.66
88,469599109,-90.69,-86.69
89,469821826,-84.69,-74.16
90,470044543,-78.69,-71.16
91,470267261,-74.69,-70.16
92,470489978,-72.69,-69.66
93,470712695,-75.19,-69.16
94,470935412,-73.19,-68.16
95,471158129,-76.19,-68.66
96,471380846,-78.69,-69.16
97,471603563,-75.19,-71.16
98,471826281,-76.19,-69.66
99,472048998,-76.69,-67.16
100,472271715,-74.72,-69.22
101,472494432,-73.72,-69.19
102,472717149,-74.22,-69.19
103,472939866,-77.22,-69.19
104,473162584,-80.22,-70.19
105,473385301,-81.72,-72.19
106,473608018,-80.72,-72.19
107,473830735,-77.22,-71.19
108,474053452,-77.72,-70.19
109,474276169,-77.22,-71.19
110,474498886,-76.72,-71.69
111,474721604,-79.72,-72.19
112,474944321,-81.22,-72.19
113,475167038,-79.72,-73.19
114,475389755,-82.72,-73.19
115,475612472,-78.22,-73.69
116,475835189,-78.72,-71.69
117,476057906,-74.25,-70.72
118,476280624,-77.25,-69.22
119,476503341,-75.75,-68.72
120,476726058,-72.75,-67.72
121,476948775,-74.25,-67.75
122,477171492,-76.75,-69.22
123,477394209,-74.25,-70.72
124,477616927,-78.75,-72.22
125,477839644,-79.25,-73.22
126,478062361,-84.75,-74.72
127,478285078,-88.25,-84.22
128,478507795,-93.75,-87.72
129,478730512,-93.25,-87.72
130,478953229,-92.25,-88.22
131,479175947,-93.25,-87.22
132,479398664,-91.75,-88.72
133,479621381,-91.75,-87.22
134,479844098,-90.25,-83.75
135,480066815,-88.28,-84.25
136,480289532,-87.78,-84.78
137,480512249,-93.28,-87.25
138,480734967,-94.28,-87.25
139,480957684,-93.78,-87.28
140,481180401,-91.78,-86.75
141,481403118,-91.28,-87.25
142,481625835,-88.28,-87.75
143,481848552,-92.78,-86.75
144,482071269,-91.78,-86.75
145,482293987,-95.28,-87.28
146,482516704,-89.78,-87.28
147,482739421,-92.78,-86.25
148,482962138,-91.78,-86.75
149,483184855,-91.78,-87.75
150,483407572,-93.28,-86.75
151,483630290,-94.78,-88.25
152,483853007,-92.28,-87.75
153,484075724,-93.31,-87.31
154,484298441,-92.81,-86.28
155,484521158,-94.31,-86.81
156,484743875,-92.81,-87.78
157,484966592,-89.81,-87.28
158,485189310,-91.81,-86.28
159,485412027,-91.31,-87.31
160,485634744,-93.31,-86.81
161,485857461,-91.81,-86.31
162,486080178,-92.31,-87.78
163,486302895,-90.81,-87.28
164,486525612,-89.81,-86.78
165,486748330,-90.81,-87.78
166,486971047,-90.31,-87.78
167,487193764,-94.31,-86.78
168,487416481,-90.31,-86.78
169,487639198,-92.81,-89.28
170,487861915,-94.31,-89.78
171,488084633,-94.84,-89.34
172,488307350,-91.84,-87.34
173,488530067,-93.34,-86.81
174,488752784,-96.34,-87.81
175,488975501,-93.84,-87.31
176,489198218,-88.84,-86.81
177,489420935,-90.34,-87.31
178,489643653,-96.34,-86.81
179,489866370,-90.34,-86.81
180,490089087,-93.34,-87.31
181,490311804,-94.34,-86.84
182,490534521,-92.34,-86.84
183,490757238,-91.84,-86.81
184,490979955,-91.34,-86.81
185,491202673,-93.34,-87.81
186,491425390,-91.84,-87.31
187,491648107,-91.34,-86.31
188,491870824,-93.84,-86.81
189,492093541,-91.38,-86.84
190,492316258,-91.88,-87.84
191,492538976,-92.38,-86.38
192,492761693,-92.38,-87.34
193,492984410,-93.88,-87.38
194,493207127,-93.88,-86.88
195,493429844,-94.38,-86.84
196,493652561,-91.88,-86.84
197,493875278,-81.88,-74.38
198,494097996,-78.88,-71.38
199,494320713,-74.88,-69.38
200,494543430,-71.88,-68.88
201,494766147,-74.88,-68.88
202,494988864,-75.88,-69.38
203,495211581,-73.88,-69.88
204,495434298,-71.88,-70.38
205,495657016,-74.88,-70.38
206,495879733,-75.88,-71.34
207,496102450,-78.41,-72.38
208,496325167,-79.41,-70.41
209,496547884,-75.91,-67.91
210,496770601,-75.91,-67.91
211,496993318,-74.41,-68.41
212,497216036,-73.91,-69.38
213,497438753,-74.41,-69.41
214,497661470,-75.41,-69.91
215,497884187,-75.41,-72.38
216,498106904,-81.41,-72.91
217,498329621,-80.91,-73.91
218,498552339,-84.41,-74.88
219,498775056,-83.41,-75.38
220,498997773,-82.91,-74.91
221,499220490,-79.91,-72.91
222,499443207,-75.41,-70.88
223,499665924,-76.91,-67.38
224,499888641,-76.41,-68.91
225,500111359,-73.94,-70.91
226,500334076,-76.94,-70.91
227,500556793,-76.44,-72.44
228,500779510,-81.94,-71.41
229,501002227,-81.94,-72.44
230,501224944,-84.94,-71.94
231,501447661,-80.94,-72.91
232,501670379,-84.44,-73.94
233,501893096,-83.44,-75.41
234,502115813,-87.44,-77.41
235,502338530,-91.44,-86.94
236,502561247,-89.44,-86.91
237,502783964,-89.94,-87.41
238,503006682,-92.94,-86.91
239,503229399,-91.44,-87.41
240,503452116,-93.44,-87.41
241,503674833,-91.44,-86.91
242,503897550,-92.44,-86.91
243,504120267,-91.97,-86.97
244,504342984,-91.97,-87.44
245,504565702,-91.97,-87.44
246,504788419,-93.97,-86.94
247,505011136,-93.47,-86.97
248,505233853,-93.47,-87.94
249,505456570,-94.97,-87.44
250,505679287,-90.97,-87.44
251,505902004,-93.97,-86.94
252,506124722,-92.97,-87.94
253,506347439,-89.97,-86.97
254,506570156,-90.97,-86.97
255,506792873,-90.47,-86.47
256,507015590,-92.97,-87.44
257,507238307,-91.97,-87.47
258,507461024,-92.47,-86.44
259,507683742,-92.97,-87.44
260,507906459,-91.97,-87.44
261,508129176,-92.5,-87.97
262,508351893,-92.5,-87.47
263,508574610,-91.5,-86.97
264,508797327,-92,-86.97
265,509020045,-91,-87.47
266,509242762,-91,-87.47
267,509465479,-91,-88
268,509688196,-91.5,-86.97
269,509910913,-93.5,-87.47
270,510133630,-90.5,-87.5
271,510356347,-97,-86.97
272,510579065,-94.5,-87.97
273,510801782,-92,-87.97
274,511024499,-90,-86.97
275,511247216,-92,-88
276,511469933,-93,-88.47
277,511692650,-92,-87.47
278,511915367,-96,-87.97
279,512138085,-93.03,-88
280,512360802,-90.53,-87.5
281,512583519,-89.03,-87.03
282,512806236,-90.53,-87.5
283,513028953,-90.53,-87.53
284,513251670,-90.03,-87.5
285,513474388,-96.53,-87
286,513697105,-93.03,-88.5
287,513919822,-92.53,-88
288,514142539,-90.53,-88.03
289,514365256,-91.53,-88
290,514587973,-94.03,-88
291,514810690,-93.53,-86.53
292,515033408,-92.53,-88
293,515256125,-92.03,-88
294,515478842,-89.53,-88
295,515701559,-91.03,-87.03
296,515924276,-93.53,-86.5
297,516146993,-92.56,-87.53
298,516369710,-91.56,-88.03
299,516592428,-92.06,-88.03
300,516815145,-92.56,-87.53
301,517037862,-93.06,-88.06
302,517260579,-89.56,-88.03
303,517483296,-91.06,-88.53
304,517706013,-91.06,-84.03
305,517928731,-84.56,-72.56
306,518151448,-77.06,-72.06
307,518374165,-74.06,-71.03
308,518596882,-77.56,-71.03
309,518819599,-80.06,-71.56
310,519042316,-79.06,-72.06
311,519265033,-79.06,-73.06
312,519487751,-80.06,-74.56
313,519710468,-83.56,-77.03
314,519933185,-88.06,-77.53
315,520155902,-88.09,-76.56
316,520378619,-83.59,-76.06
317,520601336,-85.59,-74.09
318,520824053,-87.09,-74.59
319,521046771,-85.59,-73.56
320,521269488,-84.09,-75.09
321,521492205,-81.59,-75.09
322,521714922,-84.09,-74.56
323,521937639,-85.09,-74.59
324,522160356,-84.59,-75.06
325,522383073,-83.09,-75.09
326,522605791,-83.09,-73.59
327,522828508,-82.59,-72.59
328,523051225,-83.09,-72.59
329,523273942,-83.09,-73.56
330,523496659,-81.59,-74.59
331,523719376,-80.59,-75.56
332,523942094,-87.09,-77.06
333,524164811,-84.09,-75.56
334,524387528,-85.59,-74.59
335,524610245,-81.09,-73.56
336,524832962,-82.09,-74.09
337,525055679,-85.09,-74.56
338,525278396,-83.09,-76.09
339,525501114,-85.59,-76.06
340,525723831,-87.59,-79.09
341,525946548,-90.09,-81.56
342,526169265,-94.56,-85.56
343,526391982,-93.56,-88.03
344,526614699,-92.56,-88.06
345,526837416,-91.06,-88.06
346,527060134,-92.06,-88.06
347,527282851,-91.56,-87.03
348,527505568,-90.06,-88.06
349,527728285,-92.56,-87.53
350,527951002,-93.56,-88.03
351,528173719,-94.56,-88.03
352,528396437,-93.06,-88.03
353,528619154,-95.06,-88.03
354,528841871,-92.56,-87.03
355,529064588,-95.56,-88.53
356,529287305,-94.56,-87.53
357,529510022,-93.06,-88.03
358,529732739,-90.56,-88.06
359,529955457,-91.56,-87.06
360,530178174,-95.06,-87.53
361,530400891,-93.56,-87.03
362,530623608,-92.06,-88.56
363,530846325,-92.56,-87.53
364,531069042,-92.56,-88.53
365,531291759,-94.56,-88.53
366,531514477,-94.56,-88.53
367,531737194,-90.56,-88.06
368,531959911,-93.56,-88.56
369,532182628,-92.56,-88.53
370,532405345,-94.03,-88
371,532628062,-91.53,-88.03
372,532850780,-92.53,-88.53
373,533073497,-96.03,-88
374,533296214,-95.03,-88.03
375,533518931,-95.03,-88
376,533741648,-93.53,-88
377,533964365,-95.53,-86.53
378,534187082,-90.53,-88.5
379,534409800,-94.03,-88
380,534632517,-95.03,-88
381,534855234,-92.03,-88
382,535077951,-92.03,-89
383,535300668,-89.03,-87.5
384,535523385,-94.03,-87.03
385,535746102,-91.53,-87.53
386,535968820,-93.03,-87.5
387,536191537,-93.03,-87.5
388,536414254,-91.53,-87.53
389,536636971,-91.53,-87.03
390,536859688,-95.53,-86.5
391,537082405,-90.53,-87
392,537305122,-93.53,-86.5
393,537527840,-91.03,-86.5
394,537750557,-92.03,-86.5
395,537973274,-91.53,-86.03
396,538195991,-91.03,-86.03
397,538418708,-94,-86
398,538641425,-91,-85.5
399,538864143,-90.5,-84.97
400,539086860,-89,-84.97
401,539309577,-90.5,-84.97
402,539532294,-89,-85
403,539755011,-91,-84.5
404,539977728,-90,-84
405,540200445,-88.5,-83.97
406,540423163,-93,-84.97
407,540645880,-90.5,-84.47
408,540868597,-94,-84.97
409,541091314,-87.5,-85.5
410,541314031,-91,-84.97
411,541536748,-89.5,-84.47
412,541759465,-90,-86.47
413,541982183,-91,-87.47
414,542204900,-93,-87.97
415,542427617,-93,-87.97
416,542650334,-90.5,-88.97
417,542873051,-94,-87.47
418,543095768,-89.5,-88.47
419,543318486,-93,-87.97
420,543541203,-92,-87.97
421,543763920,-90.5,-88
422,543986637,-93.5,-87.5
423,544209354,-94,-87.5
424,544432071,-95.5,-88.47
425,544654788,-92.5,-88.44
426,544877506,-91.47,-87.94
427,545100223,-94.47,-87.44
428,545322940,-91.47,-88.44
429,545545657,-93.47,-87.44
430,545768374,-93.97,-87.94
431,545991091,-90.47,-88.44
432,546213808,-93.47,-88.44
433,546436526,-90.97,-88.44
434,546659243,-95.97,-87.44
435,546881960,-94.47,-88.47
436,547104677,-92.97,-87.94
437,547327394,-92.47,-88.44
438,547550111,-93.97,-87.47
439,547772829,-91.97,-87.97
440,547995546,-92.47,-88.94
441,548218263,-90.47,-88.44
442,548440980,-94.47,-88.94
443,548663697,-91.47,-87.94
444,548886414,-95.47,-87.94
445,549109131,-94.47,-87.44
446,549331849,-95.97,-88.44
447,549554566,-91.47,-87.94
448,549777283,-94.97,-87.44
449,550000000,-92.47,-87.44
